rank,content_id,client_id,model_score,archetype,reason_code,action,impressions_90d,sessions_90d,content_age_days,ctr,avg_position,word_count,engagement_rate
940,content_6475bcaad4bb,client_19581e27de,0.6240085821233562,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6487,15,313,0.12,7.9,2189.0,0.0
941,content_dc01cd869661,client_02d20bbd7e,0.6239984628671374,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,53,3,332,3.77,12.4,1340.0,0.0
942,content_43034f3d5135,client_349c41201b,0.6235996460814931,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,657,10,104,0.15,17.6,2980.0,0.0
943,content_0dd62b390bba,client_19581e27de,0.6234287358082136,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,444,1,91,0.23,14.6,2866.0,0.0
944,content_0a30552c5010,client_349c41201b,0.6233707103988291,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,4751,12,104,0.23,30.8,2813.0,0.0
945,content_b0dd771d5f36,client_19581e27de,0.6233388859186714,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,14443,31,124,0.27,3.0,3062.0,0.0
946,content_31508d969c9a,client_19581e27de,0.6231720604699091,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1062,3,95,0.28,8.2,2836.0,0.0
947,content_09cfe2ef706d,client_02d20bbd7e,0.6227153975484278,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,34,6,332,0.0,14.4,1386.0,0.0
948,content_5b69f9beb3c4,client_19581e27de,0.6227113349354765,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5286,17,257,0.19,8.4,2619.0,0.0
949,content_7e90f3f26da7,client_349c41201b,0.6226143063311667,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6524,27,111,0.15,9.6,2741.0,0.0
950,content_e6b986a0c054,client_349c41201b,0.6222927497635203,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1083,19,165,0.37,24.4,3383.0,0.0
951,content_0fd360ab9067,client_349c41201b,0.6222298813036127,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1959,16,167,0.51,5.8,4007.0,0.0
952,content_34a3df3e3891,client_19581e27de,0.6220938490407297,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5001,75,313,0.22,7.4,1735.0,0.0
953,content_7f1eb5e368c9,client_349c41201b,0.6219957312565133,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5082,26,124,0.43,15.0,2578.0,0.0
954,content_df0b2c0bc420,client_349c41201b,0.6219459674924134,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,4791,32,148,0.44,16.1,4089.0,0.0
955,content_39f0f4f005bf,client_349c41201b,0.6218209759061724,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,120,9,126,0.83,4.6,2702.0,0.0
956,content_8521f3c8d8e7,client_19581e27de,0.6217520778716084,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,7708,17,126,0.21,4.7,2631.0,0.0
957,content_37664caf5662,client_19581e27de,0.6216368090289498,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6494,28,313,0.08,9.4,2198.0,3.57
958,content_bc54c4c6d29e,client_624b60c58c,0.6214738674348228,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,91,1,123,0.0,5.9,3809.0,0.0
959,content_4ac2c78f3495,client_19581e27de,0.6209689503168305,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,957,5,119,0.31,8.3,2930.0,0.0
960,content_990df00f57b7,client_19581e27de,0.6208586798035697,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1236,7,126,0.32,5.7,3340.0,0.0
